date,language,percent
2015-01-01,Fortran,0.03795056682248622
2015-02-01,Julia,0.04167856123322866
2015-02-01,Scala,0.4273479874393377
2015-02-01,Python,5.978875249785897
2015-02-01,R,1.3673993719668855
2015-02-01,MATLAB,0.35084213531258923
2015-02-01,Fortran,0.04767342278047388
2015-03-01,Julia,0.027310661955401053
2015-03-01,Scala,0.3759979506418006
2015-03-01,Python,6.10001630171295
2015-03-01,R,1.04669699773258
2015-03-01,MATLAB,0.3512278153799252
2015-03-01,Fortran,0.047211454388018874
2015-04-01,Julia,0.032040119802187086
2015-04-01,Scala,0.38215968981449233
2015-04-01,Python,5.998467646444243
2015-04-01,R,1.1204754939518469
2015-04-01,MATLAB,0.34408302570174826
2015-04-01,Fortran,0.04039841192449676
2015-05-01,Julia,0.038439088281772754
2015-05-01,Scala,0.3841536044950006
2015-05-01,Python,5.8726384874930595
2015-05-01,R,1.082700986603266
2015-05-01,MATLAB,0.3305287035587003
2015-05-01,Fortran,0.04176098479995064
2015-06-01,Julia,0.03853153648742636
2015-06-01,Scala,0.3712598358411144
2015-06-01,Python,5.869152718169679
2015-06-01,R,1.1789680818322594
2015-06-01,MATLAB,0.2958931198185383
2015-06-01,Fortran,0.04265126051438389
2015-07-01,Julia,0.03586825001532346
2015-07-01,Scala,0.3670820270555572
2015-07-01,Python,5.654924733428528
2015-07-01,R,1.0837659846402166
2015-07-01,MATLAB,0.279908558663885
2015-07-01,Fortran,0.04290569147402617
2015-08-01,Julia,0.03464097708807521
2015-08-01,Scala,0.31580669909742193
2015-08-01,Python,5.275842062647039
2015-08-01,R,0.9750478704299945
2015-08-01,MATLAB,0.252900384876132
2015-08-01,Fortran,0.03634114774270467
2015-09-01,Julia,0.03272299980663682
2015-09-01,Scala,0.3474162641808519
2015-09-01,Python,5.864004062751664
2015-09-01,R,0.9368552347237775
2015-09-01,MATLAB,0.32829243312502526
2015-09-01,Fortran,0.040797506252430324
2015-10-01,Julia,0.18451802139293172
2015-10-01,Scala,0.3624603465591175
2015-10-01,Python,5.938252219795635
2015-10-01,R,0.870980854760804
2015-10-01,MATLAB,0.33735314278426937
2015-10-01,Fortran,0.041646076102724326
2015-11-01,Julia,0.043126488167549444
2015-11-01,Scala,0.3622220062523284
2015-11-01,Python,6.143398610233733
2015-11-01,R,0.841675170481235
2015-11-01,MATLAB,0.3693085183925361
2015-11-01,Fortran,0.037862222006252326
2015-12-01,Julia,0.04406227762319262
2015-12-01,Scala,0.37673247367829693
2015-12-01,Python,6.246709098640018
2015-12-01,R,0.9297140578493642
2015-12-01,MATLAB,0.3588872512409039
2015-12-01,Fortran,0.041638852353917025
2016-01-01,Julia,0.04048314936201205
2016-01-01,Scala,0.36586173301930514
2016-01-01,Python,6.092335631792515
2016-01-01,R,0.835958116966034
2016-01-01,MATLAB,0.32613527803789144
2016-01-01,Fortran,0.037078024649319447
2016-02-01,Julia,0.039442061950777645
2016-02-01,Scala,0.30701299916770564
2016-02-01,Python,5.822885086555271
2016-02-01,R,0.8110691807081521
2016-02-01,MATLAB,0.33575890872505204
2016-02-01,Fortran,0.03392685837291467
2016-03-01,Julia,0.04666452973931971
2016-03-01,Scala,0.3147246718201403
2016-03-01,Python,5.811150288112472
2016-03-01,R,0.7050369365407122
2016-03-01,MATLAB,0.3737635017778739
2016-03-01,Fortran,0.03354478974871226
2016-04-01,Julia,0.041758653406247216
2016-04-01,Scala,0.31595334084579696
2016-04-01,Python,5.884439067676653
2016-04-01,R,0.6862543409041363
2016-04-01,MATLAB,0.3544879805699442
2016-04-01,Fortran,0.039302262029409146
2016-05-01,Julia,0.04128792728203815
2016-05-01,Scala,0.32950326462680835
2016-05-01,Python,5.7138970682371015
2016-05-01,R,0.7367814620407118
2016-05-01,MATLAB,0.338785046728972
2016-05-01,Fortran,0.03376648316476764
2016-06-01,Julia,0.03240363330002012
2016-06-01,Scala,0.344160694733898
2016-06-01,Python,5.7293034583204
2016-06-01,R,0.7179962957530774
2016-06-01,MATLAB,0.3114159705570355
2016-06-01,Fortran,0.02984545172370275
2016-07-01,Julia,0.030406316667075352
2016-07-01,Scala,0.31174648324791776
2016-07-01,Python,5.7157336341270035
2016-07-01,R,0.6601113263529584
2016-07-01,MATLAB,0.2730029507205153
2016-07-01,Fortran,0.03351233826209918
2016-08-01,Julia,0.027181956013554734
2016-08-01,Scala,0.31727383102488055
2016-08-01,Python,5.558710004771943
2016-08-01,R,0.6491957161237323
2016-08-01,MATLAB,0.27332966880296705
2016-08-01,Fortran,0.02990015161491021
2016-09-01,Julia,0.045080474739365814
2016-09-01,Scala,0.2970167014359417
2016-09-01,Python,5.550448841783779
2016-09-01,R,0.6592850209630976
2016-09-01,MATLAB,0.3001303678593814
2016-09-01,Fortran,0.028429128214014478
2016-10-01,Julia,0.028840119019486774
2016-10-01,Scala,0.300979039458873
2016-10-01,Python,5.794958188179871
2016-10-01,R,0.6612899537287606
2016-10-01,MATLAB,0.34900355483052936
2016-10-01,Fortran,0.029856510879204365
2016-11-01,Julia,0.02525445779444402
2016-11-01,Scala,0.31096145506492184
2016-11-01,Python,5.801892808856917
2016-11-01,R,0.6336573046605954
2016-11-01,MATLAB,0.3479503073901176
2016-11-01,Fortran,0.03175939389301294
2016-12-01,Julia,0.025966365089915594
2016-12-01,Scala,0.31201974572719227
2016-12-01,Python,6.015870529445717
2016-12-01,R,0.6579086633107962
2016-12-01,MATLAB,0.35238050885608285
2016-12-01,Fortran,0.03175234861538592
2017-01-01,Julia,0.02601380889113919
